Date,Open,Close,High,Low
14/07/2023,45.35%,45.35%,45.35%,45.35%
17/07/2023,45.63%,45.58%,45.63%,45.58%
18/07/2023,45.30%,46.00%,46.00%,45.24%
19/07/2023,45.33%,45.73%,45.73%,45.33%
20/07/2023,45.35%,45.95%,45.95%,45.35%
21/07/2023,45.64%,46.02%,46.02%,45.39%
24/07/2023,45.47%,45.29%,45.47%,45.29%
25/07/2023,45.40%,45.52%,45.52%,45.36%
26/07/2023,45.32%,45.53%,45.53%,45.32%
27/07/2023,45.37%,45.59%,45.59%,45.37%
28/07/2023,45.37%,45.56%,45.56%,45.37%
31/07/2023,45.18%,45.40%,45.40%,45.18%
1/8/2023,45.38%,45.39%,45.61%,45.38%
2/8/2023,45.31%,45.50%,45.59%,45.31%
3/8/2023,45.48%,45.61%,45.61%,45.48%
4/8/2023,45.39%,45.26%,45.39%,45.26%
7/8/2023,45.43%,45.50%,45.50%,45.31%
8/8/2023,45.43%,45.50%,45.50%,45.39%
9/8/2023,45.46%,45.36%,45.46%,45.36%
10/8/2023,45.47%,45.71%,45.71%,45.47%
11/8/2023,45.69%,45.57%,45.71%,45.57%
14/08/2023,45.51%,45.80%,45.80%,45.51%
15/08/2023,45.52%,45.77%,45.77%,45.46%
16/08/2023,45.74%,45.74%,45.74%,45.68%
17/08/2023,45.65%,45.60%,45.65%,45.46%
18/08/2023,45.32%,46.15%,46.15%,45.32%
21/08/2023,45.40%,46.16%,46.16%,45.40%
22/08/2023,45.32%,46.18%,46.18%,45.32%
23/08/2023,46.18%,45.65%,46.18%,45.42%
24/08/2023,45.66%,45.22%,45.66%,45.22%
25/08/2023,45.69%,45.70%,45.70%,45.69%
28/08/2023,45.67%,45.65%,45.67%,45.65%
29/08/2023,45.59%,45.59%,45.60%,45.59%
30/08/2023,45.28%,45.58%,45.58%,45.28%
31/08/2023,45.60%,45.15%,45.60%,45.15%
1/9/2023,45.35%,45.58%,45.58%,45.35%
4/9/2023,45.21%,45.73%,45.73%,45.21%
5/9/2023,46.02%,46.02%,46.02%,45.50%
6/9/2023,46.09%,45.36%,46.09%,45.16%
7/9/2023,45.52%,45.46%,45.52%,45.46%
8/9/2023,45.46%,45.46%,45.46%,45.46%
11/9/2023,45.35%,45.35%,45.55%,45.35%
12/9/2023,45.34%,45.40%,45.40%,45.34%
13/09/2023,45.27%,45.40%,45.40%,45.27%
14/09/2023,45.34%,47.08%,47.08%,45.34%
15/09/2023,46.25%,46.27%,46.27%,46.25%
18/09/2023,46.27%,45.79%,46.27%,45.44%
19/09/2023,45.73%,46.19%,46.19%,45.72%
20/09/2023,46.20%,45.70%,46.20%,45.70%
21/09/2023,46.38%,46.02%,46.38%,46.02%
22/09/2023,46.03%,46.09%,46.09%,46.03%
25/09/2023,46.00%,46.04%,46.04%,46.00%
26/09/2023,46.88%,46.46%,46.88%,46.44%
27/09/2023,46.97%,46.47%,46.97%,46.46%
28/09/2023,46.42%,46.98%,46.98%,46.42%
29/09/2023,46.98%,46.42%,46.98%,46.42%
2/10/2023,46.98%,46.55%,46.98%,46.55%
3/10/2023,46.98%,46.52%,46.98%,46.52%
4/10/2023,47.02%,46.59%,47.02%,46.47%
5/10/2023,47.02%,46.97%,47.02%,46.56%
6/10/2023,46.98%,46.98%,46.98%,46.53%
9/10/2023,47.00%,47.05%,47.05%,46.48%
10/10/2023,47.05%,46.42%,47.05%,46.42%
11/10/2023,46.40%,46.38%,46.40%,46.33%
12/10/2023,46.23%,46.35%,46.39%,46.23%
13/10/2023,46.45%,46.30%,46.45%,46.27%
16/10/2023,46.27%,46.84%,46.84%,46.27%
17/10/2023,48.10%,48.87%,48.87%,48.02%
18/10/2023,48.87%,48.87%,48.87%,48.87%
19/10/2023,48.88%,48.86%,48.88%,48.82%
20/10/2023,48.93%,48.81%,48.93%,48.66%
23/10/2023,48.94%,48.74%,48.94%,48.74%
24/10/2023,49.14%,48.80%,49.14%,48.80%
25/10/2023,49.17%,48.77%,49.17%,48.76%
26/10/2023,49.04%,48.68%,49.04%,48.67%
27/10/2023,49.10%,48.78%,49.10%,48.78%
30/10/2023,48.84%,48.89%,48.93%,48.84%
31/10/2023,48.99%,48.90%,48.99%,48.89%
1/11/2023,49.31%,49.47%,49.47%,49.28%
2/11/2023,49.61%,49.73%,49.73%,49.46%
3/11/2023,49.79%,49.78%,49.79%,49.78%
6/11/2023,49.44%,49.33%,49.86%,49.33%
7/11/2023,49.84%,49.79%,49.84%,49.79%
8/11/2023,49.47%,49.79%,49.79%,49.47%
9/11/2023,49.79%,49.86%,49.86%,49.79%
10/11/2023,50.22%,50.22%,50.22%,49.86%
13/11/2023,50.22%,49.89%,50.22%,49.32%
14/11/2023,49.84%,49.91%,49.91%,49.69%
15/11/2023,50.15%,49.78%,50.15%,49.78%
